Event: death from-,number of units,Unit of exposure,micromorts per unit of exposure,,Context,Time period,N deaths,N population,Link,,,,,,,,,,,,,,,
Micromort,1,,1,,,,,,,,,,,,,,,,,,,,,
Non-natural' cause,1,day,0.893680155,,England and Wales,2009,48.98082192,54808000,http://www.ons.gov.uk/ons/publications/re-reference-tables.html?edition=tcm%3A77-199137,,,,,,,,,,,,,,,
All causes,1,day,,,England and Wales,,,,,,,,,,,,,,,,,,,
Accident at birth,1,births,279.3914246,,England and Wales,2010,202,723000,,,,,,,,,,,,,,,,
"""Unexplained deaths in infancy""",1,first year of life,385.8921162,,England and Wales,2010,279,723000,,,,,,,,,,,,,,,,
Infant mortality - all causes,1,first year of life,4300,,England and Wales,2010,4.3,1000,,,,,,,,,,,,,,,,
Murder/homicide,1,year,13.5,,England and Wales,2010,13.5,1000000,Table 1a,,,,,,,,,,,,,,,
Children,,,,,,,,,,,,,,,,,,,,,,,,
Non-natural' cause - children under 14,1,year,25.89473684,,England and Wales,2010,246,9500000,http://www.ons.gov.uk/ons/rel/vsob1/mortality-statistics--deaths-registered-in-england-and-wales--series-dr-/2010/index.html,,,,,,,,,,,,,,,
Accidents - children under 14,1,year,18.10526316,,England and Wales,2011,172,9500000,,,,,,,,,,,,,,,,
Pedestrian accident - children under 14,1,year,2.210526316,,England and Wales,2012,21,9500000,,,,,,,,,,,,,,,,
Cyclist accident - children under 14,1,year,1.263157895,,England and Wales,2013,12,9500000,,,,,,,,,,,,,,,,
Car passenger accident - children under 14,1,year,1.789473684,,England and Wales,2014,17,9500000,,,,,,,,,,,,,,,,
Drowning - children under 14,1,year,2.315789474,,England and Wales,2015,22,9500000,,,,,,,,,,,,,,,,
Accidental strangulation - children under 14,1,year,2.842105263,,England and Wales,2016,27,9500000,,,,,,,,,,,,,,,,
Fires - children under 14,1,year,1.052631579,,England and Wales,2017,10,9500000,,,,,,,,,,,,,,,,
Transport,,,,,,,,,,,,,,,,,,,,,,,,
Car occupant accident,1,mile,0.3,,UK,2010,405,,http://www.dft.gov.uk/statistics/releases/road-accidents-and-safety-annual-report-2010,,,,,,,,,,,,,,,
Goods vehicle occupant,1,mile,,,UK,2010,62,,http://www.rssb.co.uk/SPR/REPORTS/Pages/Annual-Safety-Performance-Report-2011-2012.aspx,,,,,,,,,,,,,,,
Motorcycle accident,1,mile,13.8,,UK,2010,403,,https://www.gov.uk/government/publications/reported-road-casualties-great-britain-annual-report-2011,,,,,,,,,,,,,,,
Pedal cycle accident,1,mile,3.6,,UK,2010,111,,,,,,,,,,,,,,,,,
Pedestrian accident,1,mile,3.7,,UK,2010,405,,,,,,,,,,,,,,,,,
Bus or coach passenger accident,1,mile,,,UK,2010,9,,,,,,,,,,,,,,,,,
Rail passenger accident,1,mile,0.013333333,,UK,2010,,,??,,,,,,,,,,,,,,,
Water-craft accident,1,mile,,,UK,2010,,,,,,,,,,,,,,,,,,
Air accident (commercial),1,mile,0.0167902,,US,1992-2011,1631,9714,Table 5 of http://www.ntsb.gov/data/aviation_stats.html,,,,,,,,,,,,,,,
Air accident (commercial),1,mile,0.003084355,,US,2002-2011,166,5382,,,,,,,,,,,,,,,,
Air accident (small aitcraft),1,mile,6.666666667,,US,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,,,,,,,
